Year,Word,Frequency
2023,climate,42
2023,months,42
2023,taskin,42
2023,countrys,41
2023,minister,41
2023,thats,41
2023,dont,41
2023,ms,41
2023,match,41
2023,playing,41
2023,win,41
2023,point,41
2016,police,592
2016,dhaka,585
2016,england,445
2016,people,439
2016,government,372
2016,attack,359
2016,attacks,317
2016,killed,296
2016,security,285
2016,bangladeshi,282
2016,group,271
2016,country,265
2016,test,248
2016,islamic,233
2016,years,229
2016,tour,229
2016,cricket,228
2016,state,226
2016,bangladeshs,206
2016,just,201
2016,team,194
2016,series,186
2016,india,182
2016,groups,181
2016,death,180
2016,world,180
2016,militants,177
2016,islamist,176
2016,home,170
2016,international,170
2016,islam,170
2016,men,165
2016,players,161
2016,local,159
2016,pakistan,149
2016,killings,145
2016,englands,144
2016,attackers,140
2016,claimed,140
2016,war,135
2016,killing,134
2016,opposition,131
2016,rahman,131
2016,authorities,130
2016,secular,130
2016,party,130
2016,ball,129
2016,family,128
2016,minister,128
2016,religious,127
2016,university,126
2016,rights,122
2016,bloggers,119
2016,place,118
2016,good,116
2016,children,116
2016,saturday,115
2016,members,112
2016,recent,110
2016,traffic,109
2016,man,108
2016,past,108
2016,cafe,108
2016,hindu,106
2016,capital,104
2016,arrested,104
2016,days,104
2016,oneday,104
2016,know,102
2016,left,100
2016,isis,100
2016,going,100
2016,political,99
2016,work,98
2016,months,98
2016,responsibility,98
2016,foreigners,98
2016,media,97
2016,young,97
2016,khan,96
2016,restaurant,96
2016,countrys,95
2016,took,95
2016,news,94
2016,foreign,94
2016,morgan,94
2016,chittagong,93
2016,game,93
2016,militant,92
2016,violence,92
2016,friday,92
2016,captain,92
2016,district,91
2016,south,91
2016,played,91
2016,moeen,89
2016,water,88
2016,activists,88
2016,hacked,88
2016,end,88
2014,people,189
2014,dhaka,178
2014,workers,168
2014,factory,153
2014,factories,153
2014,government,144
2014,safety,118
2014,war,113
2014,million,107
2014,garment,106
2014,party,104
2014,building,100
2014,country,100
2014,rana,95
2014,plaza,95
2014,accord,95
2014,power,95
2014,opposition,92
2014,bangladeshi,89
2014,international,88
2014,years,87
2014,women,80
2014,bangladeshs,76
2014,brands,74
2014,work,72
2014,ferry,71
2014,election,70
2014,industry,69
2014,local,67
2014,court,67
2014,crimes,66
2014,death,64
2014,elections,63
2014,minister,61
2014,leader,59
2014,tribunal,59
2014,fund,58
2014,group,58
2014,hasina,58
2014,violence,57
2014,working,56
2014,rahman,55
2014,countrys,55
2014,pakistan,55
2014,collapse,54
2014,senior,54
2014,police,54
2014,independence,54
2014,just,53
2014,officials,53
2014,retailers,52
2014,political,52
2014,league,52
2014,jamaateislami,52
2014,zia,51
2014,world,51
2014,sunday,50
2014,awami,50
2014,compensation,49
2014,killed,49
2014,months,49
2014,victims,48
2014,rights,48
2014,capital,47
2014,conditions,45
2014,companies,45
2014,sheikh,45
2014,river,45
2014,sentence,45
2014,prime,44
2014,alliance,44
2014,sentenced,44
2014,place,43
2014,charges,43
2014,walmart,42
2014,pay,41
2014,company,41
2014,general,41
2014,family,40
2014,support,40
2014,water,40
2014,state,39
2014,number,39
2014,electricity,39
2014,home,39
2014,city,39
2014,yearold,39
2014,trade,38
2014,inspections,38
2014,india,38
2014,bank,38
2014,major,37
2014,director,37
2014,owners,37
2014,passengers,37
2014,labour,36
2014,used,36
2014,help,36
2014,street,36
2014,children,36
2013,building,1208
2013,workers,962
2013,garment,884
2013,people,832
2013,factory,745
2013,factories,702
2013,government,665
2013,dhaka,596
2013,rana,576
2013,police,571
2013,war,478
2013,safety,469
2013,collapse,445
2013,plaza,422
2013,bangladeshi,385
2013,party,369
2013,bangladeshs,359
2013,industry,345
2013,death,339
2013,retailers,317
2013,killed,298
2013,collapsed,288
2013,rights,273
2013,work,269
2013,country,263
2013,crimes,259
2013,minister,259
2013,owners,250
2013,countrys,248
2013,opposition,237
2013,working,223
2013,international,222
2013,disaster,220
2013,local,219
2013,officials,217
2013,capital,215
2013,group,212
2013,conditions,208
2013,million,207
2013,rescue,207
2013,protests,205
2013,labor,205
2013,brands,205
2013,tribunal,202
2013,leaders,200
2013,owner,190
2013,companies,190
2013,leader,186
2013,political,184
2013,years,183
2013,clothing,183
2013,bodies,183
2013,prime,181
2013,trade,181
2013,security,181
2013,savar,180
2013,april,180
2013,collapses,178
2013,rubble,177
2013,dead,169
2013,jamaateislami,158
2013,months,157
2013,women,155
2013,western,154
2013,islam,153
2013,hasina,153
2013,jamaat,152
2013,days,152
2013,thousands,151
2013,clothes,151
2013,help,151
2013,primark,151
2013,standards,150
2013,set,149
2013,sheikh,147
2013,official,147
2013,independence,146
2013,protesters,145
2013,died,144
2013,industrial,141
2013,forces,140
2013,improve,140
2013,wednesday,139
2013,court,138
2013,inside,137
2013,human,136
2013,worker,135
2013,survivors,135
2013,hundreds,134
2013,injured,134
2013,pay,133
2013,authorities,132
2013,supporters,131
2013,toll,131
2013,global,130
2013,rahman,129
2013,monday,127
2013,pakistan,123
2013,groups,122
2013,main,122
2012,factory,244
2012,people,183
2012,government,183
2012,workers,174
2012,dhaka,162
2012,garment,137
2012,bangladeshi,117
2012,police,116
2012,officials,82
2012,safety,81
2012,factories,79
2012,bangladeshs,78
2012,years,78
2012,killed,76
2012,official,74
2012,walmart,73
2012,industry,73
2012,women,70
2012,minister,69
2012,rights,69
2012,bank,69
2012,work,68
2012,labor,66
2012,group,65
2012,building,63
2012,country,62
2012,tazreen,61
2012,million,58
2012,world,58
2012,islam,55
2012,international,54
2012,home,52
2012,clothes,52
2012,federal,52
2012,local,50
2012,united,50
2012,capital,48
2012,went,47
2012,states,47
2012,family,47
2012,children,46
2012,hossain,45
2012,law,44
2012,human,43
2012,death,42
2012,director,42
2012,development,42
2012,died,41
2012,working,41
2012,port,40
2012,nafis,40
2012,saturday,39
2012,poor,39
2012,countrys,38
2012,worker,38
2012,apparel,38
2012,investigation,37
2012,south,37
2012,global,37
2012,groups,37
2012,authorities,36
2012,conditions,36
2012,village,36
2012,york,36
2012,prime,35
2012,responsible,35
2012,blaze,35
2012,set,34
2012,money,34
2012,activists,34
2012,evidence,33
2012,report,33
2012,hasina,33
2012,pay,32
2012,countries,32
2012,wages,32
2012,retailers,32
2012,months,32
2012,plot,32
2012,rohingya,31
2012,area,31
2012,opposition,31
2012,owner,31
2012,monday,31
2012,fashions,31
2012,talked,31
2012,major,30
2012,recent,30
2012,thousands,30
2012,victims,30
2012,violence,30
2012,families,30
2012,national,30
2012,rahman,30
2012,main,30
2012,school,30
2012,bomb,30
2012,border,29
2012,state,29
2012,pakistan,29
2022,people,205
2022,india,78
2022,family,69
2022,water,67
2022,islam,62
2022,home,60
2022,government,59
2022,police,54
2022,sylhet,53
2022,dhaka,53
2022,climate,50
2022,officials,49
2022,bangladeshs,49
2022,million,48
2022,country,46
2022,ball,45
2022,died,44
2022,flooding,44
2022,years,43
2022,minister,41
2022,just,40
2022,son,40
2022,hospital,40
2022,state,39
2022,killed,39
2022,floods,38
2022,sunday,37
2022,need,37
2022,local,36
2022,das,36
2022,balls,34
2022,rohingya,34
2022,south,33
2022,depot,32
2022,world,32
2022,hossain,30
2022,hasan,30
2022,external,30
2022,region,29
2022,countrys,29
2022,death,29
2022,change,28
2022,authorities,28
2022,power,28
2022,hundreds,28
2022,team,27
2022,left,26
2022,rahul,26
2022,away,26
2022,international,26
2022,hit,25
2022,affected,25
2022,days,25
2022,firefighters,25
2022,bangladeshi,25
2022,rights,25
2022,heavy,25
2022,game,25
2022,worst,24
2022,official,24
2022,news,24
2022,food,24
2022,recent,24
2022,hasina,24
2022,flood,24
2022,rainfall,24
2022,disaster,23
2022,area,23
2022,children,23
2022,critical,23
2022,kohli,23
2022,rain,23
2022,rafiqul,23
2022,saturday,22
2022,city,22
2022,ahmed,22
2022,seen,22
2022,foreign,22
2022,dont,22
2022,ms,22
2022,past,21
2022,homes,21
2022,pakistan,21
2022,opposition,21
2022,rising,21
2022,members,21
2022,rains,20
2022,added,20
2022,agency,20
2022,relatives,20
2022,crisis,20
2022,group,20
2022,overs,20
2022,played,20
2022,win,20
2022,military,20
2022,good,20
2022,work,20
2022,begum,20
2022,missing,19
2020,people,230
2020,rohingya,107
2020,cyclone,100
2020,workers,94
2020,government,93
2020,india,92
2020,refugees,91
2020,coronavirus,88
2020,bengal,76
2020,million,74
2020,island,73
2020,storm,71
2020,bangladeshi,69
2020,rights,68
2020,authorities,64
2020,covid,62
2020,garment,61
2020,indian,60
2020,shelters,58
2020,dhaka,57
2020,safety,56
2020,country,56
2020,camps,55
2020,bangladeshs,54
2020,state,53
2020,thousands,53
2020,cases,52
2020,years,51
2020,factory,51
2020,women,47
2020,just,46
2020,work,46
2020,bay,45
2020,factories,45
2020,char,44
2020,home,44
2020,sea,44
2020,international,43
2020,police,43
2020,bhasan,42
2020,coxs,42
2020,group,42
2020,social,42
2020,minister,41
2020,brands,41
2020,orders,41
2020,bazar,40
2020,officials,40
2020,amphan,39
2020,indias,39
2020,myanmar,38
2020,human,38
2020,family,38
2020,areas,37
2020,death,37
2020,west,37
2020,rape,36
2020,days,36
2020,wednesday,35
2020,world,35
2020,emergency,35
2020,killed,35
2020,refugee,34
2020,children,34
2020,hundreds,33
2020,groups,33
2020,violence,33
2020,disaster,33
2020,conditions,32
2020,reported,32
2020,water,32
2020,lives,32
2020,died,32
2020,camp,31
2020,statement,31
2020,district,31
2020,hospital,31
2020,industry,31
2020,pay,31
2020,away,31
2020,families,30
2020,south,30
2020,countries,30
2020,high,30
2020,virus,30
2020,cyclones,29
2020,winds,29
2020,members,29
2020,distancing,29
2020,suppliers,29
2020,dont,28
2020,director,28
2020,lockdown,28
2020,countrys,28
2020,pandemic,28
2020,fear,27
2020,local,27
2020,homes,27
2020,risk,27
2020,fish,27
2024,people,164
2024,party,78
2024,hasina,74
2024,election,73
2024,water,71
2024,india,66
2024,government,66
2024,dhaka,65
2024,ms,63
2024,country,59
2024,bnp,56
2024,bangladeshs,54
2024,opposition,52
2024,minister,50
2024,power,46
2024,million,43
2024,climate,41
2024,health,40
2024,awami,40
2024,league,40
2024,international,39
2024,countrys,39
2024,sheikh,38
2024,bangladeshi,36
2024,external,36
2024,world,35
2024,rights,35
2024,died,34
2024,years,34
2024,police,33
2024,officials,33
2024,leaders,33
2024,vote,32
2024,high,31
2024,state,30
2024,children,30
2024,economic,30
2024,local,29
2024,crisis,29
2024,cyclone,29
2024,prime,28
2024,killed,28
2024,human,28
2024,political,27
2024,members,26
2024,hasinas,26
2024,news,24
2024,group,24
2024,main,24
2024,capital,24
2024,taken,24
2024,violence,23
2024,indian,23
2024,building,23
2024,workers,23
2024,military,23
2024,parties,23
2024,hit,22
2024,border,22
2024,areas,22
2024,just,22
2024,countries,22
2024,security,22
2024,approach,22
2024,delhi,22
2024,vulnerable,21
2024,family,21
2024,leader,21
2024,past,21
2024,flooding,20
2024,left,20
2024,change,20
2024,continue,20
2024,groups,20
2024,use,20
2024,global,20
2024,thousands,19
2024,south,19
2024,major,19
2024,term,19
2024,home,19
2024,clear,19
2024,supporters,19
2024,media,18
2024,development,18
2024,food,18
2024,months,18
2024,levels,18
2024,sunday,18
2024,bengal,18
2024,known,18
2024,linking,18
2024,won,18
2024,region,17
2024,reported,17
2024,used,17
2024,risk,17
2024,making,17
2024,remal,17
2024,asia,17
