Year,Word,Frequency,Raw Frequency
2017,parents,51,21
2017,senior,51,21
2017,november,51,21
2017,fish,51,21
2017,safe,51,21
2017,san,51,21
2017,suu,51,21
2017,kyi,51,21
2017,carrying,51,21
2017,supplies,51,21
2017,suspected,51,21
2017,ali,51,21
2017,monsoon,51,21
2017,rohingyas,51,21
2017,east,51,21
2017,center,51,21
2017,seen,51,21
2017,opposition,51,21
2017,wickets,51,21
2017,bay,49,20
2017,access,49,20
2017,organization,49,20
2017,criticism,49,20
2017,targeted,49,20
2017,madrasas,49,20
2017,helenius,49,20
2017,tamim,49,20
2017,start,49,20
2017,visit,49,20
2017,media,49,20
2017,brought,49,20
2017,times,49,20
2017,northern,49,20
2017,weeks,49,20
2017,pressure,49,20
2017,suicide,49,20
2017,social,49,20
2017,hefazat,49,20
2017,arrest,46,19
2017,mother,46,19
2017,charges,46,19
2017,husband,46,19
2017,different,46,19
2017,lived,46,19
2017,nation,46,19
2017,rice,46,19
2017,bengali,46,19
2017,decades,46,19
2017,coming,46,19
2017,making,46,19
2017,campaign,46,19
2017,raised,46,19
2017,terrorists,46,19
2017,using,46,19
2017,region,46,19
2017,destroyed,46,19
2017,hostages,46,19
2017,main,46,19
2017,holey,46,19
2017,father,46,19
2017,north,46,19
2017,rain,46,19
2017,reports,46,19
2017,carried,46,19
2017,school,46,19
2017,flooding,46,19
2017,stop,46,19
2017,head,46,19
2017,sylhet,46,19
2017,large,46,19
2017,west,46,19
2017,issue,46,19
2017,urged,46,19
2017,hefazateislam,46,19
2017,radical,46,19
2017,worked,46,19
2017,victory,46,19
2017,landslides,44,18
2017,officer,44,18
2017,fear,44,18
2017,flooded,44,18
2017,face,44,18
2017,strong,44,18
2017,states,44,18
2017,allow,44,18
2017,married,44,18
2017,does,44,18
2017,theyre,44,18
2017,outside,44,18
2017,huge,44,18
2017,governments,44,18
2017,relatives,44,18
2017,spoke,44,18
2017,council,44,18
2017,attacked,44,18
2017,estimated,44,18
2017,persecution,44,18
2017,hindu,44,18
2017,moved,44,18
2017,guards,44,18
2017,visited,44,18
2017,agencies,44,18
2017,communities,44,18
2017,saw,44,18
2017,storm,44,18
2017,disappearances,44,18
2017,tournament,44,18
2017,captain,42,17
2017,road,42,17
2017,leaving,42,17
2017,damaged,42,17
2017,domestic,42,17
2017,received,42,17
2017,daughter,42,17
2017,money,42,17
2017,age,42,17
2017,currently,42,17
2017,rape,42,17
2017,flee,42,17
2017,line,42,17
2017,continue,42,17
2017,ifrcmirva,42,17
2017,difficult,42,17
2017,think,42,17
2017,shot,42,17
2017,bakery,42,17
2017,artisan,42,17
2017,released,42,17
2017,illegal,42,17
2017,built,42,17
2017,terrorist,42,17
2017,short,42,17
2017,wednesday,42,17
2017,recently,42,17
2017,hour,42,17
2017,game,42,17
2017,moment,42,17
2017,lyon,42,17
2017,innings,42,17
2017,disaster,39,16
2017,based,39,16
2017,alleged,39,16
2017,supreme,39,16
2017,able,39,16
2017,reach,39,16
2017,turn,39,16
2017,damage,39,16
2017,caused,39,16
2017,risk,39,16
2017,operation,39,16
2017,genocide,39,16
2017,stay,39,16
2017,despite,39,16
2017,hope,39,16
2017,widespread,39,16
2017,adding,39,16
2017,poor,39,16
2017,stories,39,16
2017,commissioner,39,16
2017,having,39,16
2017,helped,39,16
2017,season,39,16
2017,current,39,16
2017,hard,39,16
2017,abdul,39,16
2017,dan,39,16
2017,kitwoodgetty,39,16
2017,southern,39,16
2017,remain,39,16
2017,mines,39,16
2017,wage,39,16
2017,champions,39,16
2017,haque,37,15
2017,following,37,15
2017,districts,37,15
2017,deputy,37,15
2017,clear,37,15
2017,leave,37,15
2017,source,37,15
2017,hand,37,15
2021,people,1049,263
2021,dhaka,475,119
2021,government,355,89
2021,ball,347,87
2021,country,343,86
2021,india,331,83
2021,safety,319,80
2021,workers,287,72
2021,years,287,72
2021,bangladeshi,271,68
2021,factory,263,66
2021,garment,243,61
2021,bangladeshs,243,61
2021,police,231,58
2021,boat,227,57
2021,just,223,56
2021,international,223,56
2021,hindu,219,55
2021,million,215,54
2021,rights,207,52
2021,violence,207,52
2021,england,207,52
2021,killed,203,51
2021,roy,199,50
2021,ferry,195,49
2021,ms,195,49
2021,factories,191,48
2021,away,191,48
2021,group,191,48
2021,countrys,187,47
2021,world,187,47
2021,officials,184,46
2021,indian,180,45
2021,water,180,45
2021,countries,180,45
2021,brands,176,44
2021,single,172,43
2021,death,172,43
2021,died,168,42
